customer_ssn,credit_card_number,expiration_date,cvc
1211982039,4539278171995470,2018-12,999
2505902079,4929994885951510,2019-12,129
0105803339,5510429319542460,2020-09,120
0602932529,5207921218245580,2020-10,419
1212754949,3722097841532610,2021-12,122
0606675059,4024007167771070,2031-01,150
0106982149,5418415034684290,2019-02,480
0512836649,4929395955193150,2020-10,123
0305883639,5279027991416770,2020-11,490
1111807789,3779859334061720,2021-05,420
0304821929,5167786012174480,2023-05,565
0802925569,3714093295196350,2020-01,264
0708883349,4929208686434390,2019-12,239
2802993139,3783258142491030,2020-11,595
2604615589,3420894630517890,2018-12,854
2411992159,3420894630517891,2018-12,355
2411992159,3420894630517892,2020-12,223
2411992159,3420894630517893,2021-12,523,Greitt
0208835539,4353845843924823,2020-12,322,Greitt
