ssn,name,address,phone,country
1211982039,Gunnar Bragason,Hávallagata 9,8453985,Ísland
2505902079,Vilhelm Theódórsson,Suðurvör 11,7776263,Ísland
0602932529,Karl Brandsson,Mánatúni 3,6169981,Ísland
0606675059,Magnea Ægisdóttir,Tígulsteini 6,8415464,Ísland
0106982149,Már Másson,Háengi 27,7860171,Ísland
0512836649,Sigurður Karl Sigurjónsson,Norðurgata 55,7800349,Ísland
0305883639,Guðrún Magnúsdóttir,Jaðarsíða 4,8614785,Ísland
1111807789,Páll Sigurðsson,Kvistavöllum 30,7701586,Ísland
0304821929,Ragnar Waage,Ásbraut 11,8932014,Ísland
0802925569,Jóhannes Guðmundsson,Hnjúkaseli 9,8456496,Ísland
0708883349,Haukur Unnarsson,Hömrum 19,7770588,Ísland
2802993139,Viktoría Guðrúnardóttir,Dísaborgum 3,6942030,Ísland
2604615589,Þorkell Lárusson,Skólagerði 54,8618624,Ísland
2411992150,Mikael Máni Jónsson,Álfk 1,8469924,Ísland
0105803339,Anna Guðmundsdóttir,Asparskógum 2,6945768,Ísland
1212754949,Sigríður Óttarsdóttir,Skerjagrandur 32,8653930,Ísland
